"products","score"
"WALL MOUNTED HOSE REEL CABINET      (EC)",4
"HOT WASHDOWN HOSE REEL 12MM X 15M",4
"HOT WASHDOWN HOSE REEL + GUN 12MM X 15M",4
"FIRE HOSE REEL CABINET WALL MOUNTED",4
"TRICOFLEX HOSE FITTED        12MM X  15M",3
"RETRACTABLE HOSE REEL AIR   12MM X 12MTR",3
"RETRACTABLE HOSE REEL AIR   12MM X 15MTR",3
"DOOR MOUNTED FIRE HOSE REEL R/H 36MT",3
"DOOR MOUNTED FIRE HOSE REEL L/H 36MT",3
"ENWARE BUBBLE COCK T44 WALL MOUNTED 15MM",2
"FIRE HOSE REEL CABINET DOUBLE DOOR",2
"HOSE REEL & HYD BOX HR 3 TH MFB SPEC",2
"VEITCH WALL MOUNTED S/S URINAL 1200MM",2
"DOMINATOR WEEDICIDE SPRAY HOSE      12MM",2
"ZIP WALL MOUNTED TUN DISH R/A CHROME",2
"RED ORTAC WASHING MACHINE HOSE      12MM",2
"CLEAR PLASTIC VINYL TUBING 12MM HOSE",2
"RETRACTABLE HOSE REEL GRDN 12MMX15MT GRN",2
"NETA BRASS SCREW HOSE CONNECTOR     12MM",2
"NETA BRS 3/4\" BARB HOSE CONN &CLAMP 12MM",2
"FIRE REEL HOSE BLACK 20MM PVC",2
"FIRE REEL HOSE BLACK 25MM PVC",2
"SILVERLINE ROPE -   100MT REEL   12MM",2
"POLYPRO  SASH CORD  100MT REEL   12MM",2
"ECOSAFE WALL MOUNTED EYE WASH YELLOW",2
"FIRE HOSE REEL CABINET F/STAND W/LEGS",2
"RETRACTABLE HOSE REEL COLD 12MMX15MT WHT",2
"RETRACTABLE HOSE REEL AIR  10MMX15MT RED",2
"RETRACTABLE HOSE REEL HOT  12MMX12MT WHT",2
"RACO/EXELL PVC HOSE JOINER        12MM",2
"FIRE HOSE REEL FLEX  RH SWING G1-36M",2
"FIRE HOSE REEL FIXED RH SWING G3-36M",2
"FIRE HOSE REEL FIXED LH SWING G4-36M",2
"FIRE HOSE REEL CHANNEL GALV",2
"FIRE HOSE REEL NOZZLE BRS TYPE 1",2
"FIRE HOSE REEL SUPPORT BRACKET",2
"SOAKER HOSE                          15M",2
"HOSE JOINER STEEL W/SERRATED TAIL   12MM",2
"FIRE HOSE REEL 19MMX50M LKS MK111 MAXI",2
"POSH WALL MOUNTED BATH OUTLET  160MM C/P",2
"FUTURA WALL MOUNTED BATH OUTLET CHROME",2
"PLASSON WALL PLATE ELBOW       20 X 12MM",2
"FIRE HOSE REEL CABINET SINGLE DOOR",2
"FIRE CABINET: HYDRANT & HOSE REEL",2
"PEDESTAL WALL MOUNTED BASIN 1TH      530",2
"GAS HEATER HOSE 10 BAYNT X 10 S/NUT 1.5M",2
"FIRE HOSE REEL MAIN SPINDLE W/ORING",2
"SIENA WALL MOUNTED TOILET BRUSH TIDY C/P",2
"PIPE MARKER FIRE HOSE REEL   400X25 (10)",2
"WALL MOUNTED S/S URINAL      1800MM (0*)",2
""
""
""
"x"
"Hozelock 12mm x 15m Wall Mounted Hose Reel"
""
""
""
"x"
"12mm"
"15m"
"hose"
"hozelock"
"mounted"
"reel"
"wall"
